,detail_id,transaction_id,item_id,quantity
0,0,T0000000113,S005,1
1,1,T0000000114,S001,1
2,2,T0000000115,S003,1
3,3,T0000000116,S005,1
4,4,T0000000117,S002,2
5,5,T0000000118,S003,1
6,6,T0000000119,S004,1
7,7,T0000000120,S001,1
8,8,T0000000121,S005,1
9,9,T0000000122,S002,1
10,10,T0000000123,S001,1
11,11,T0000000124,S003,1
12,12,T0000000125,S004,1
13,13,T0000000126,S002,2
14,14,T0000000127,S002,1
15,15,T0000000128,S005,1
16,16,T0000000129,S001,1
17,17,T0000000130,S005,1
18,18,T0000000131,S002,1
19,19,T0000000132,S004,1
20,20,T0000000133,S005,1
21,21,T0000000134,S001,3
22,22,T0000000135,S001,2
23,23,T0000000136,S003,1
24,24,T0000000137,S005,1
25,25,T0000000138,S001,1
26,26,T0000000139,S001,2
27,27,T0000000140,S001,3
28,28,T0000000141,S005,1
29,29,T0000000142,S001,2
30,30,T0000000143,S002,1
31,31,T0000000144,S002,1
32,32,T0000000145,S002,1
33,33,T0000000146,S003,1
34,34,T0000000147,S001,1
35,35,T0000000148,S002,1
36,36,T0000000149,S001,2
37,37,T0000000150,S004,1
38,38,T0000000151,S001,1
39,39,T0000000152,S005,1
40,40,T0000000153,S003,1
41,41,T0000000154,S001,1
42,42,T0000000155,S003,1
43,43,T0000000156,S005,1
44,44,T0000000157,S005,1
45,45,T0000000158,S003,1
46,46,T0000000159,S001,1
47,47,T0000000160,S001,2
48,48,T0000000161,S003,1
49,49,T0000000162,S001,1
50,50,T0000000163,S005,1
51,51,T0000000164,S001,3
52,52,T0000000165,S003,1
53,53,T0000000166,S002,1
54,54,T0000000167,S004,1
55,55,T0000000168,S005,1
56,56,T0000000169,S004,1
57,57,T0000000170,S001,3
58,58,T0000000171,S003,1
59,59,T0000000172,S002,1
60,60,T0000000173,S001,1
61,61,T0000000174,S005,1
62,62,T0000000175,S001,2
63,63,T0000000176,S004,1
64,64,T0000000177,S001,2
65,65,T0000000178,S003,1
66,66,T0000000179,S003,1
67,67,T0000000180,S003,1
68,68,T0000000181,S001,1
69,69,T0000000182,S005,1
70,70,T0000000183,S001,1
71,71,T0000000184,S003,1
72,72,T0000000185,S004,1
73,73,T0000000186,S003,1
74,74,T0000000187,S001,1
75,75,T0000000188,S001,2
76,76,T0000000189,S002,1
77,77,T0000000190,S002,1
78,78,T0000000191,S004,1
79,79,T0000000192,S004,1
80,80,T0000000193,S005,1
81,81,T0000000194,S002,1
82,82,T0000000194,S005,1
83,83,T0000000195,S004,1
84,84,T0000000196,S002,1
85,85,T0000000197,S005,1
86,86,T0000000198,S003,1
87,87,T0000000199,S003,1
88,88,T0000000200,S001,1
89,89,T0000000201,S001,1
90,90,T0000000202,S002,1
91,91,T0000000203,S005,1
92,92,T0000000204,S002,2
93,93,T0000000205,S003,1
94,94,T0000000206,S005,1
95,95,T0000000207,S005,1
96,96,T0000000208,S003,1
97,97,T0000000208,S001,1
98,98,T0000000209,S002,2
99,99,T0000000210,S002,1
100,100,T0000000211,S005,1
101,101,T0000000212,S004,1
102,102,T0000000213,S003,1
103,103,T0000000214,S002,1
104,104,T0000000215,S001,1
105,105,T0000000216,S001,1
106,106,T0000000217,S003,1
